Wavelength (nm)	R06 abs N
660.50	0.0023905
660.75	0.0012192
661.00	0.0023108
661.25	0.0024702
661.50	0.0034344
661.75	0.0025101
662.00	0.0020798
662.25	0.00094825
662.50	0.0013228
662.75	0.0019523
663.00	0.0019045
663.25	0.0027491
663.50	0.0010359
663.75	0.0026535
664.00	0.0018885
664.25	0.00094825
664.50	0.0014662
664.75	0.0017610
665.00	0.0035539
665.25	0.0032591
665.50	0.0026854
665.75	0.0014901
666.00	0.0014024
666.25	0.0023746
666.50	0.0027969
666.75	0.0025977
667.00	0.0037133
667.25	0.0034503
667.50	0.0029961
667.75	0.0020001
668.00	0.0023985
668.25	0.0028288
668.50	0.0021993
668.75	0.0025818
669.00	0.0029165
669.25	0.0023587
669.50	0.0019523
669.75	0.0031635
670.00	0.00093231
670.25	0.0031157
670.50	0.0027332
670.75	0.00067732
671.00	0.0028129
671.25	0.0031396
671.50	0.0036974
671.75	0.0025419
672.00	0.00054185
672.25	0.0014981
672.50	0.00035061
672.75	0.0011236
673.00	0.0028129
673.25	0.0018009
673.50	0.0040161
673.75	0.0031316
674.00	0.0029563
674.25	0.0012510
674.50	0.0025021
674.75	0.0033547
675.00	0.0027332
675.25	0.0013706
675.50	0.0027332
675.75	0.0028129
676.00	0.0028049
676.25	0.0029244
676.50	0.00053389
676.75	0.00091637
677.00	0.0030838
677.25	0.0015857
677.50	0.0033707
677.75	0.0019363
678.00	0.0022073
