,weight,available modification,product number,formula,absorption,emission max,solution,name,molar absorbance
417,898.00,NHS-ester,703-01,C44H48N3O12S2 * Na,705,721,(in Ethanol),DY-703,"140,000"
418,821.03,Amino-derivative,703-02,C42H52N4O9S2,705,721,(in Ethanol),DY-703,"140,000"
419,923.06,Maleimide,703-03,C46H51N4O11S2 * Na,705,721,(in Ethanol),DY-703,"140,000"
426,902.97,Carboxylic acid,704-00,C40H44N2O13S3 * 2 Na,706,721,(in Ethanol),DY-704,"140,000"
427,1000.05,NHS-ester,704-01,C44H47N3O15S3 * 2 Na,706,721,(in Ethanol),DY-704,"140,000"
428,923.07,Amino-derivative,704-02,C42H51N4O12S3 * Na,706,721,(in Ethanol),DY-704,"140,000"
429,1025.10,Maleimide,704-03,C46H50N4O14S3 * 2 Na,706,721,(in Ethanol),DY-704,"140,000"
432,770.89,Carboxylic acid,705-00,C39H43N2O9S2 * Na,710,732,(in Ethanol),DY-705,"140,000"
433,867.96,NHS-ester,705-01,C43H46N3O11S2 * Na,710,732,(in Ethanol),DY-705,"140,000"
434,790.99,Amino-derivative,705-02,C41H50N4O8S2,710,732,(in Ethanol),DY-705,"140,000"
